id,election_date,term_ended,liberal,pc,ndp,other
1,1873-04-01,1876-08-10,10,15,0,5
2,1876-08-10,1879-04-02,7,15,0,8
3,1879-04-02,1883-05-01,6,24,0,0
4,1883-05-08,1886-06-30,9,21,0,0
5,1886-06-30,1890-01-30,12,18,0,0
6,1890-01-30,1893-12-13,15,15,0,0
7,1893-12-13,1897-07-28,23,7,0,0
8,1897-07-28,1900-12-12,19,11,0,0
9,1900-12-12,1904-12-07,21,9,0,0
10,1904-12-07,1908-11-18,22,8,0,0
11,1908-11-18,1912-01-03,17,13,0,0
12,1912-01-03,1915-09-16,2,28,0,0
13,1915-09-16,1919-07-24,13,17,0,0
14,1919-07-24,1923-07-26,24,6,0,0
15,1923-07-26,1927-06-25,5,25,0,0
16,1927-06-25,1931-08-06,24,6,0,0
17,1931-08-06,1935-07-23,12,18,0,0
18,1935-07-23,1939-05-18,30,0,0,0
19,1939-05-18,1943-09-15,26,4,0,0
20,1943-09-15,1947-12-11,20,10,0,0
21,1947-12-11,1951-04-26,24,6,0,0
22,1951-04-26,1955-05-25,24,6,0,0
23,1955-05-25,1959-09-01,27,3,0,0
24,1959-09-01,1962-12-10,8,22,0,0
25,1962-12-10,1966-05-30,11,19,0,0
26,1966-05-30,1970-05-11,17,15,0,0
27,1970-05-11,1974-04-29,27,5,0,0
28,1974-04-29,1978-04-24,26,6,0,0
29,1978-04-24,1979-04-23,17,15,0,0
30,1979-04-23,1982-09-27,11,21,0,0
31,1982-09-27,1986-04-21,11,21,0,0
32,1986-04-21,1989-05-29,21,11,0,0
33,1989-05-29,1993-03-29,30,2,0,0
34,1993-03-29,1996-11-18,31,1,0,0
35,1996-11-18,2000-04-17,8,18,1,0
36,2000-04-17,2003-09-29,1,26,0,0
37,2003-09-29,2007-05-28,4,23,0,0
38,2007-05-28,2011-10-03,23,4,0,0
39,2011-10-03,,22,5,0,0
